Incident_ID,Source,Event,Location,Time,Severity,Incident_Summary
INC_AUD_001,Audio,Shooting,Unknown,Unknown,High,A High-severity Shooting incident was reported via Audio.
INC_AUD_002,Audio,Unknown,other side of the facility,Unknown,Low,A Low-severity incident was reported via Audio at other side of the facility.
INC_AUD_003,Audio,Unknown,Unknown,Unknown,Low,A Low-severity incident was reported via Audio.
INC_PDF_001,PDF,Training / Administrative,"Street
Bentonville, AR","May 26, 2015",Low,"A Low-severity Training / Administrative incident was reported via PDF at Street
Bentonville, AR. The reported time was May 26, 2015."
INC_IMG_001,Image,Fire And Person Scene,Unknown,Unknown,High,A High-severity Fire And Person Scene incident was reported via Image.
INC_IMG_002,Image,Fire And Person Scene,Unknown,Unknown,High,A High-severity Fire And Person Scene incident was reported via Image.
INC_IMG_003,Image,Fire Scene,Unknown,Unknown,High,A High-severity Fire Scene incident was reported via Image.
INC_IMG_004,Image,Fire Scene,Alabama Bankhead Highway,Unknown,High,A High-severity Fire Scene incident was reported via Image at Alabama Bankhead Highway.
INC_IMG_005,Image,Fire Scene,Riving Pl Hamilton Street,Unknown,High,A High-severity Fire Scene incident was reported via Image at Riving Pl Hamilton Street.
INC_IMG_006,Image,General Scene,Bradford Street,Unknown,Medium,A Medium-severity General Scene incident was reported via Image at Bradford Street.
INC_VID_001,Video,Possible Altercation,Unknown,00:00:00,High,A High-severity Possible Altercation incident was reported via Video. The reported time was 00:00:00.
INC_VID_002,Video,Multiple Persons Detected,Unknown,00:00:00,Low,A Low-severity Multiple Persons Detected incident was reported via Video. The reported time was 00:00:00.
INC_VID_003,Video,Multiple Persons Detected,Unknown,00:00:01,Low,A Low-severity Multiple Persons Detected incident was reported via Video. The reported time was 00:00:01.
INC_VID_004,Video,Person Collapsing,Unknown,00:00:01,High,A High-severity Person Collapsing incident was reported via Video. The reported time was 00:00:01.
INC_VID_005,Video,Multiple Persons Detected,Unknown,00:00:02,Low,A Low-severity Multiple Persons Detected incident was reported via Video. The reported time was 00:00:02.
INC_VID_006,Video,Multiple Persons Detected,Unknown,00:00:02,Low,A Low-severity Multiple Persons Detected incident was reported via Video. The reported time was 00:00:02.
INC_VID_007,Video,Person Collapsing,Unknown,00:00:03,High,A High-severity Person Collapsing incident was reported via Video. The reported time was 00:00:03.
INC_VID_008,Video,Multiple Persons Detected,Unknown,00:00:03,Low,A Low-severity Multiple Persons Detected incident was reported via Video. The reported time was 00:00:03.
INC_VID_009,Video,Person Collapsing,Unknown,00:00:04,High,A High-severity Person Collapsing incident was reported via Video. The reported time was 00:00:04.
INC_VID_010,Video,Multiple Persons Detected,Unknown,00:00:04,Low,A Low-severity Multiple Persons Detected incident was reported via Video. The reported time was 00:00:04.
INC_VID_011,Video,Person Standing,Unknown,00:00:05,Low,A Low-severity Person Standing incident was reported via Video. The reported time was 00:00:05.
INC_VID_012,Video,Person Standing,Unknown,00:00:05,Low,"At 00:00:05, a video captured a person standing in an area whose location is unknown. The incident is classified as low severity. No additional details are provided."
INC_VID_013,Video,Multiple Persons Present,Unknown,00:00:06,Low,A Low-severity Multiple Persons Present incident was reported via Video. The reported time was 00:00:06.
